Timestamp,LBNL Weather Station Wet-Bulb Temperature (),"LBNL Weather Station Dry-Bulb Temperature Sensor (Main, Two-Meter) ()"
2018-09-16T07:00:00-07:00 Los_Angeles,50.8138895,53.10999966
2018-09-16T08:00:00-07:00 Los_Angeles,51.21954346,55.00250053
2018-09-16T09:00:00-07:00 Los_Angeles,51.60965919,56.72749996
2018-09-16T10:00:00-07:00 Los_Angeles,52.72513485,59.5474987
2018-09-16T11:00:00-07:00 Los_Angeles,53.08525944,63.36249924
2018-09-16T12:00:00-07:00 Los_Angeles,54.82283592,65.12750244
2018-09-16T13:00:00-07:00 Los_Angeles,56.19280434,66.10249901
2018-09-16T14:00:00-07:00 Los_Angeles,56.5755024,65.75000191
2018-09-16T15:00:00-07:00 Los_Angeles,57.397645,65.65999985
2018-09-16T16:00:00-07:00 Los_Angeles,57.72737026,65.93500137
2018-09-16T17:00:00-07:00 Los_Angeles,57.29868889,64.18249989
2018-09-16T18:00:00-07:00 Los_Angeles,56.47952652,61.64000034
2018-09-16T19:00:00-07:00 Los_Angeles,55.53453541,59.32749939
2018-09-16T20:00:00-07:00 Los_Angeles,54.62636662,57.46000004
2018-09-16T21:00:00-07:00 Los_Angeles,54.06689644,56.68249989
2018-09-16T22:00:00-07:00 Los_Angeles,53.88831425,56.31750011
2018-09-16T23:00:00-07:00 Los_Angeles,53.23877048,55.47750092
2018-09-17T00:00:00-07:00 Los_Angeles,53.59079361,55.70249939
2018-09-17T01:00:00-07:00 Los_Angeles,53.23216915,55.36250114
2018-09-17T02:00:00-07:00 Los_Angeles,52.96155643,55.11750031
2018-09-17T03:00:00-07:00 Los_Angeles,52.54623413,54.44499969
2018-09-17T04:00:00-07:00 Los_Angeles,52.33463097,54.18499947
2018-09-17T05:00:00-07:00 Los_Angeles,52.20021152,53.92000008
2018-09-17T06:00:00-07:00 Los_Angeles,52.20724297,53.81249905
2018-09-17T07:00:00-07:00 Los_Angeles,51.91630173,53.41499996
2018-09-17T08:00:00-07:00 Los_Angeles,52.43563175,54.38000011
2018-09-17T09:00:00-07:00 Los_Angeles,53.0657444,55.63499928
2018-09-17T10:00:00-07:00 Los_Angeles,53.08148575,56.05500031
2018-09-17T11:00:00-07:00 Los_Angeles,54.1058054,58.56000042
2018-09-17T12:00:00-07:00 Los_Angeles,55.01867867,60.00999928
2018-09-17T13:00:00-07:00 Los_Angeles,55.20090771,60.29749966
2018-09-17T14:00:00-07:00 Los_Angeles,55.0976553,60.77000046
2018-09-17T15:00:00-07:00 Los_Angeles,58.35357475,67.93749905
2018-09-17T16:00:00-07:00 Los_Angeles,57.6942091,68.58999825
2018-09-17T17:00:00-07:00 Los_Angeles,57.56349087,68.03750038
2018-09-17T18:00:00-07:00 Los_Angeles,55.89210606,63.90000057
2018-09-17T19:00:00-07:00 Los_Angeles,53.57127285,57.90999985
2018-09-17T20:00:00-07:00 Los_Angeles,52.85338593,56.22249985
